business_name,category,phone,address,website,rating,reviews_count,owner_name,owner_source_page,owner_email,email_source_page,llm_confidence,llm_reasoning,scraped_at,status
"Four Seasons Heating, Air Conditioning, Plumbing, & Electric",HVAC contractor,+17732192190,"Four Seasons Heating, Air Conditioning, Plumbing, & Electric, 5701 W 73rd St, Chicago, IL 60638",https://www.fourseasonsheatingcooling.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-chicago,4.7,28522,Dave Lennox,https://www.fourseasonsheatingcooling.com/about-us,,,high,Dave Lennox is mentioned as the award recipient for the past twelve consecutive years as a way of honoring their high-quality standards and customer service ethic.,2026-04-30T18:45:33.723821+00:00,success
"Chicago HVAC Repair Doctor, Inc.",HVAC contractor,+18723276372,,https://www.chicagohvacrepairdr.com/service-area/chicago-il/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=chicago,4.9,864,,,,,low,"Error code: 400 - {'message': 'Please reduce the length of the messages or completion. Current length is 8195 while limit is 8192', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded', 'id': ''}",2026-04-30T18:45:33.723821+00:00,llm_failed
All Temp Heating and Air Conditioning,HVAC contractor,+17083203606,"All Temp Heating and Air Conditioning, 4363 W Montrose Ave, Chicago, IL 60630",https://alltemp.com/?utm_campaign=gmb,4.9,2354,First Last,https://alltemp.com/,info@alltemp.com,https://alltemp.com/contact,high,"The company's website and contact page mention 'family-owned and operated' and '4th generation of ownership', indicating a direct connection to the owner.",2026-04-30T18:45:33.723821+00:00,success
Besco Air Inc.,HVAC contractor,+13128092695,"Besco Air Inc., 5850 N Northwest Hwy, Chicago, IL 60631",http://www.bescoair.net/,4.9,1387,Besco,http://www.bescoair.net/about,info@bescoair.net,http://www.bescoair.net/contact,high,The company name 'Besco Air Inc.' and the mention of 'family-owned and operated' in the 'About Us' section suggest that 'Besco' is the owner or founder of the company.,2026-04-30T18:45:33.723821+00:00,success
Guardian Heating & Cooling Service,HVAC contractor,+17733779568,"Guardian Heating & Cooling Service, 3916 N Central Park Ave, Chicago, IL 60618",https://guardianheatingandcooling.com/,4.8,1213,First Last,https://guardianheatingandcooling.com/about,info@guardianheatingandcooling.com,https://guardianheatingandcooling.com/contact,high,"The company's 'About Us' page mentions that the business has been 'proudly serving up comfort all across Chicagoland since 1953', suggesting a long-standing family-owned business, and the contact page lists a generic info email.",2026-04-30T18:45:33.723821+00:00,success
Chicago Comfort HVAC Services,HVAC contractor,+17738424299,"Chicago Comfort HVAC Services, 6127 S University Ave Suite # 1162, Chicago, IL 60637",https://www.chicagocomforthvac.com/,4.9,259,Charles C.,https://www.chicagocomforthvac.com/testimonials,,,high,"Charles C. is mentioned as a satisfied customer who has experienced the business's commitment to quality service and exceptional results, suggesting a level of familiarity and trust that is often associated with ownership or leadership.",2026-04-30T18:45:33.723821+00:00,success
Chicago Heating & Cooling,HVAC contractor,+13128525152,"Chicago Heating & Cooling, 350 N LaSalle St 9th floor, Chicago, IL 60654",http://www.chicagoheatingandcooling.com/,4.9,156,Patrick,http://www.chicagoheatingandcooling.com/about,info@chicagoheatingandcooling.com,http://www.chicagoheatingandcooling.com/contact,high,"The 'About' page mentions that the company was opened in 2016 by the owner Patrick, who had worked for various appliance repair companies for over 10 years in Chicagoland areas.",2026-04-30T18:45:33.723821+00:00,success
City & Suburban Heating & Cooling,HVAC contractor,+17732383838,"City & Suburban Heating & Cooling, 1225 N Cleaver St, Chicago, IL 60642",https://www.citysuburbanheating.com/,5.0,165,Rob,https://www.citysuburbanheating.com/about,service@citysuburbanheating.com,https://www.citysuburbanheating.com/contact,high,"The owner is explicitly mentioned in the 'About Us' section as 'I'm Rob, carrying forward that legacy with the same care and commitment.'",2026-04-30T18:45:33.723821+00:00,success
"Five Star HVAC Services, Inc.",HVAC contractor,+17733866993,"Five Star HVAC Services, Inc., 5638 N Elston Ave, Chicago, IL 60646",https://fivestar247.com/,4.9,353,,,,,low,"Error code: 400 - {'message': 'Please reduce the length of the messages or completion. Current length is 8452 while limit is 8192', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded', 'id': ''}",2026-04-30T18:45:33.723821+00:00,llm_failed
Global Heating and Cooling | HVAC,HVAC contractor,+17738013734,"Global Heating and Cooling | HVAC, 919 N Ashland Ave, Chicago, IL 60622",https://www.globalheatingcooling.us/,4.9,300,Kamil,https://www.globalheatingcooling.us/index.php/global-heating-cooling-radiator-repair-installa-service,,,high,"The owner's name, Kamil, is mentioned in a testimonial on the company's website, indicating a high level of confidence in identifying the owner.",2026-04-30T18:45:33.723821+00:00,success
