business_name,category,phone,address,website,rating,reviews_count,owner_name,owner_source_page,owner_email,email_source_page,llm_confidence,llm_reasoning,scraped_at,status
"Four Seasons Heating, Air Conditioning, Plumbing, & Electric",HVAC contractor,+17732192190,"Four Seasons Heating, Air Conditioning, Plumbing, & Electric, 5701 W 73rd St, Chicago, IL 60638",https://www.fourseasonsheatingcooling.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-chicago,4.7,28522,,,,,low,The website does not explicitly mention the owner's name or provide a direct contact email for the owner.,2026-04-30T19:12:48.889769+00:00,llm_failed
"Chicago HVAC Repair Doctor, Inc.",HVAC contractor,+18723276372,,https://www.chicagohvacrepairdr.com/service-area/chicago-il/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=chicago,4.9,864,Paul,,,,medium,"The business appears to be a family-owned operation with multiple members involved, including a husband, wife, son, daughter, brother, sister-in-law, and friends. While no single owner is explicitly named, the repeated mention of 'family-owned' and 'family proud' suggests a key family member could be the principal owner.",2026-04-30T19:12:48.889769+00:00,success
All Temp Heating and Air Conditioning,HVAC contractor,+17083203606,"All Temp Heating and Air Conditioning, 4363 W Montrose Ave, Chicago, IL 60630",https://alltemp.com/?utm_campaign=gmb,4.9,2354,The Clark Family,https://alltemp.com/,,,high,"The company is described as a family-owned and operated business since 1938, now in its 4th generation of ownership, indicating the current owners are the Clark family.",2026-04-30T19:12:48.889769+00:00,success
Besco Air Inc.,HVAC contractor,+13128092695,"Besco Air Inc., 5850 N Northwest Hwy, Chicago, IL 60631",http://www.bescoair.net/,4.9,1387,,,,,low,The website does not explicitly mention the owner's name or provide a direct email address for the owner.,2026-04-30T19:12:48.889769+00:00,llm_failed
Guardian Heating & Cooling Service,HVAC contractor,+17733779568,"Guardian Heating & Cooling Service, 3916 N Central Park Ave, Chicago, IL 60618",https://guardianheatingandcooling.com/,4.8,1213,,,,,low,The website does not explicitly mention the owner's name or provide a direct contact email for the owner.,2026-04-30T19:12:48.889769+00:00,llm_failed
Chicago Heating & Cooling,HVAC contractor,+13128525152,"Chicago Heating & Cooling, 350 N LaSalle St 9th floor, Chicago, IL 60654",http://www.chicagoheatingandcooling.com/,4.9,156,Patrick,http://www.chicagoheatingandcooling.com/about,info@chicagoheatingandcooling.com,http://www.chicagoheatingandcooling.com/,high,The website mentions Patrick as the owner who opened Chicago Heating and Cooling in 2016 after working for various appliance repair companies for over 10 years.,2026-04-30T19:12:48.889769+00:00,success
Chicago Comfort HVAC Services,HVAC contractor,+17738424299,"Chicago Comfort HVAC Services, 6127 S University Ave Suite # 1162, Chicago, IL 60637",https://www.chicagocomforthvac.com/,4.9,259,,,,,low,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzxjkbmfg6s2jrbknzpf91e` service tier `on_demand` on tokens per minute (TPM): Limit 30000, Used 26977, Requested 7882. Please try again in 9.718s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",2026-04-30T19:12:48.889769+00:00,llm_failed
City & Suburban Heating & Cooling,HVAC contractor,+17732383838,"City & Suburban Heating & Cooling, 1225 N Cleaver St, Chicago, IL 60642",https://www.citysuburbanheating.com/,5.0,165,Rob,https://www.citysuburbanheating.com/about-us,service@citysuburbanheating.com,https://www.citysuburbanheating.com/contact,high,"Rob is mentioned as carrying forward the family legacy of City & Suburban Heating & Cooling, indicating he is likely the owner or principal of the business.",2026-04-30T19:12:48.889769+00:00,success
"Five Star HVAC Services, Inc.",HVAC contractor,+17733866993,"Five Star HVAC Services, Inc., 5638 N Elston Ave, Chicago, IL 60646",https://fivestar247.com/,4.9,353,Mark,https://fivestar247.com/,,,high,"Mark is mentioned multiple times as a key figure in the company, being referred to as 'Mark at Five Star' and having a prominent role in customer interactions and reviews.",2026-04-30T19:12:48.889769+00:00,success
Global Heating and Cooling | HVAC,HVAC contractor,+17738013734,"Global Heating and Cooling | HVAC, 919 N Ashland Ave, Chicago, IL 60622",https://www.globalheatingcooling.us/,4.9,300,,,,,low,"The website does not provide explicit information about the owner, founder, or principal of Global Heating and Cooling LLC. Despite reviewing multiple pages, no clear indication of ownership or direct contact information for the owner was found.",2026-04-30T19:12:48.889769+00:00,llm_failed
