business_name,category,phone,address,website,rating,reviews_count,owner_name,owner_source_page,owner_email,email_source_page,llm_confidence,llm_reasoning,scraped_at,status
"Four Seasons Heating, Air Conditioning, Plumbing, & Electric",HVAC contractor,+17732192190,"Four Seasons Heating, Air Conditioning, Plumbing, & Electric, 5701 W 73rd St, Chicago, IL 60638",https://www.fourseasonsheatingcooling.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-chicago,4.7,28522,,,,,low,The website does not explicitly mention the owner's name or provide a direct email address for the owner.,2026-04-30T19:24:51.436533+00:00,llm_failed
"Chicago HVAC Repair Doctor, Inc.",HVAC contractor,+18723276372,,https://www.chicagohvacrepairdr.com/service-area/chicago-il/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=chicago,4.9,864,,,,,low,The website does not explicitly mention the owner's name or provide direct contact information for the owner.,2026-04-30T19:24:51.436533+00:00,llm_failed
All Temp Heating and Air Conditioning,HVAC contractor,+17083203606,"All Temp Heating and Air Conditioning, 4363 W Montrose Ave, Chicago, IL 60630",https://alltemp.com/?utm_campaign=gmb,4.9,2354,,,,,low,"The website does not explicitly mention the owner's name or provide direct contact information for the owner. However, it does mention that the company has been family-owned and operated since 1938 and is now in its 4th generation of ownership.",2026-04-30T19:24:51.436533+00:00,llm_failed
Besco Air Inc.,HVAC contractor,+13128092695,"Besco Air Inc., 5850 N Northwest Hwy, Chicago, IL 60631",http://www.bescoair.net/,4.9,1387,,,,,low,"The website does not explicitly mention the owner or founder of Besco Air Inc. Heating & Cooling. However, it does mention that the company is 'family-owned and operated', which implies that the ownership is within a family, but does not provide a specific name.",2026-04-30T19:24:51.436533+00:00,llm_failed
Guardian Heating & Cooling Service,HVAC contractor,+17733779568,"Guardian Heating & Cooling Service, 3916 N Central Park Ave, Chicago, IL 60618",https://guardianheatingandcooling.com/,4.8,1213,,,,,low,"The website does not explicitly mention the owner's name or provide a direct email address for the owner. While it mentions that Guardian Heating & Cooling has been a family-oriented business since 1953, it does not specify the current owner or founder.",2026-04-30T19:24:51.436533+00:00,llm_failed
Chicago Comfort HVAC Services,HVAC contractor,+17738424299,"Chicago Comfort HVAC Services, 6127 S University Ave Suite # 1162, Chicago, IL 60637",https://www.chicagocomforthvac.com/,4.9,259,,,info@chicagocomforthvac.com,https://www.chicagocomforthvac.com/contact,low,"The website does not explicitly mention the owner's name, but provides a generic contact email address.",2026-04-30T19:24:51.436533+00:00,success
Chicago Heating & Cooling,HVAC contractor,+13128525152,"Chicago Heating & Cooling, 350 N LaSalle St 9th floor, Chicago, IL 60654",http://www.chicagoheatingandcooling.com/,4.9,156,Patrick,http://www.chicagoheatingandcooling.com/about,info@chicagoheatingandcooling.com,http://www.chicagoheatingandcooling.com/contact,high,"Patrick is explicitly mentioned as the owner of Chicago Heating and Cooling, having worked in the appliance repair industry for over 10 years before opening his own business in 2016.",2026-04-30T19:24:51.436533+00:00,success
City & Suburban Heating & Cooling,HVAC contractor,+17732383838,"City & Suburban Heating & Cooling, 1225 N Cleaver St, Chicago, IL 60642",https://www.citysuburbanheating.com/,5.0,165,Rob,https://www.citysuburbanheating.com/about,service@citysuburbanheating.com,https://www.citysuburbanheating.com/contact-us,high,"Rob is explicitly mentioned as carrying forward the family legacy of City & Suburban Heating & Cooling, indicating he is the current owner.",2026-04-30T19:24:51.436533+00:00,success
"Five Star HVAC Services, Inc.",HVAC contractor,+17733866993,"Five Star HVAC Services, Inc., 5638 N Elston Ave, Chicago, IL 60646",https://fivestar247.com/,4.9,353,Mark,https://fivestar247.com/about,,,medium,"Mark is referred to as a go-to HVAC guy and is mentioned multiple times in customer reviews as a key figure in the company, suggesting he is likely the owner or founder.",2026-04-30T19:24:51.436533+00:00,success
Global Heating and Cooling | HVAC,HVAC contractor,+17738013734,"Global Heating and Cooling | HVAC, 919 N Ashland Ave, Chicago, IL 60622",https://www.globalheatingcooling.us/,4.9,300,Kamil,https://www.globalheatingcooling.us/index.php/global-heating-cooling-radiator-repair-installa-service,,,medium,"The name Kamil is mentioned as 'Owner' in a customer review, suggesting that Kamil is the owner of Global Heating and Cooling LLC.",2026-04-30T19:24:51.437622+00:00,success
