business_name,category,phone,address,website,rating,reviews_count,owner_name,owner_source_page,owner_email,email_source_page,llm_confidence,llm_reasoning,scraped_at,status
"Four Seasons Heating, Air Conditioning, Plumbing, & Electric",HVAC contractor,+17732192190,"Four Seasons Heating, Air Conditioning, Plumbing, & Electric, 5701 W 73rd St, Chicago, IL 60638",https://www.fourseasonsheatingcooling.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-chicago,4.7,28522,,,,,null,No explicit or strongly implied owner information found on the website.,2026-04-30T19:30:11.755806+00:00,llm_failed
All Temp Heating and Air Conditioning,HVAC contractor,+17083203606,"All Temp Heating and Air Conditioning, 4363 W Montrose Ave, Chicago, IL 60630",https://alltemp.com/?utm_campaign=gmb,4.9,2354,,,,,low,no_json_found,2026-04-30T19:30:11.755806+00:00,llm_failed
Besco Air Inc.,HVAC contractor,+13128092695,"Besco Air Inc., 5850 N Northwest Hwy, Chicago, IL 60631",http://www.bescoair.net/,4.9,1387,John Besco,http://www.bescoair.net/about,,,high,"The company is named Besco Air Inc. Heating & Cooling, and the owner's name is explicitly mentioned in the 'About Us' section as John Besco.",2026-04-30T19:30:11.755806+00:00,success
"Chicago HVAC Repair Doctor, Inc.",HVAC contractor,+18723276372,,https://www.chicagohvacrepairdr.com/service-area/chicago-il/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=chicago,4.9,864,,,,,low,"Error code: 400 - {'message': 'Please reduce the length of the messages or completion. Current length is 8295 while limit is 8192', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded', 'id': ''}",2026-04-30T19:30:11.755806+00:00,llm_failed
Guardian Heating & Cooling Service,HVAC contractor,+17733779568,"Guardian Heating & Cooling Service, 3916 N Central Park Ave, Chicago, IL 60618",https://guardianheatingandcooling.com/,4.8,1213,John,,,,low,"The owner's name is not explicitly mentioned on the website, but John is mentioned as a technician in several customer reviews, suggesting a possible connection to the company.",2026-04-30T19:30:11.755806+00:00,success
Chicago Comfort HVAC Services,HVAC contractor,+17738424299,"Chicago Comfort HVAC Services, 6127 S University Ave Suite # 1162, Chicago, IL 60637",https://www.chicagocomforthvac.com/,4.9,259,,,info@chicagocomforthvac.com,https://www.chicagocomforthvac.com/contact,low,"The email address info@chicagocomforthvac.com is listed on the contact page, but it does not explicitly state who the owner is.",2026-04-30T19:30:11.755806+00:00,success
"TDH Mechanical, Heating and Cooling Contractors",HVAC contractor,+17733424338,"TDH Mechanical, Heating and Cooling Contractors, 1623 W Montrose Ave, Chicago, IL 60613",https://www.chicagotdhmechanical.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.8,170,,,,,low,"Error code: 400 - {'message': 'Please reduce the length of the messages or completion. Current length is 8798 while limit is 8192', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded', 'id': ''}",2026-04-30T19:30:11.755806+00:00,llm_failed
"Five Star HVAC Services, Inc.",HVAC contractor,+17733866993,"Five Star HVAC Services, Inc., 5638 N Elston Ave, Chicago, IL 60646",https://fivestar247.com/,4.9,353,,,,,low,"Error code: 400 - {'message': 'Please reduce the length of the messages or completion. Current length is 8553 while limit is 8192', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded', 'id': ''}",2026-04-30T19:30:11.755806+00:00,llm_failed
Chicago Heating & Cooling,HVAC contractor,+13128525152,"Chicago Heating & Cooling, 350 N LaSalle St 9th floor, Chicago, IL 60654",http://www.chicagoheatingandcooling.com/,4.9,156,Patrick,http://www.chicagoheatingandcooling.com/about,info@chicagoheatingandcooling.com,http://www.chicagoheatingandcooling.com/contact,high,Patrick is explicitly named as the owner of Chicago Heating and Cooling on the About page.,2026-04-30T19:30:11.755806+00:00,success
City & Suburban Heating & Cooling,HVAC contractor,+17732383838,"City & Suburban Heating & Cooling, 1225 N Cleaver St, Chicago, IL 60642",https://www.citysuburbanheating.com/,5.0,165,Rob,https://www.citysuburbanheating.com/about,service@citysuburbanheating.com,https://www.citysuburbanheating.com/contact,high,"The owner is explicitly named as Rob in the 'About Us' section, and his email is listed in the 'Contact Us' section.",2026-04-30T19:30:11.755806+00:00,success
